0.0
0.0
0.0
0.0
0.0
"tensor(0.9919, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(1.0027, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8593, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7485, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6738, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6169, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5933, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4324, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3897, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3883, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3336, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3564, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3095, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.2896, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3335, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.3926, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4147, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4508, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5587, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4571, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4856, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4678, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4938, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4774, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5860, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6943, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6140, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5717, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5606, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5137, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6846, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7006, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7765, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8755, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7735, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8556, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8149, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7914, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7312, device='cuda:0', grad_fn=<AddBackward0>)"
