0.0
"tensor(0.5104, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4054, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4839, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4172, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4932, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6752, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4432, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6577, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5008, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5495, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6802, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6521, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7662, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7033, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6390, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5343, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7913, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6512, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6677, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5201, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6018, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6672, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6679, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8135, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7691, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7066, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6850, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6244, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.8300, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9204, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9033, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7246, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.9563, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7591, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7171, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6849, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5843, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.4899, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6185, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5736, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6098, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.7926, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6218, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6899, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6690, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6713, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5735, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.5779, device='cuda:0', grad_fn=<AddBackward0>)"
"tensor(0.6002, device='cuda:0', grad_fn=<AddBackward0>)"
